Datetime,Location,Item,TransactionQty
01/11/19 04:07:43 PM,L1,I9,-40
01/11/19 04:09:42 PM,L1,I4,-100
01/11/19 04:09:51 PM,L1,I3,-100
01/11/21 07:18:02 PM,L1,I10,-40
01/11/21 07:23:09 PM,L1,I2,-40
01/11/21 07:23:24 PM,L1,I4,-100
01/11/21 07:36:01 PM,L1,I1,-160
01/11/21 07:36:19 PM,L1,I5,-40
01/11/21 07:36:38 PM,L1,I10,-120
01/11/21 07:36:52 PM,L1,I9,-40
01/11/21 07:39:47 PM,L1,I3,-100
01/11/21 07:40:16 PM,L1,I4,-100
01/12/18 08:28:02 AM,L1,I4,-99
01/12/21 05:23:43 PM,L1,I6,-61
01/12/21 05:23:51 PM,L1,I1,-120
01/12/21 05:24:06 PM,L1,I5,-80
01/12/21 05:24:12 PM,L1,I9,-30
01/12/21 05:24:21 PM,L1,I8,-40
01/12/21 05:29:07 PM,L1,I1,-40
01/12/21 11:04:12 AM,L1,I7,-30
01/12/21 11:08:44 AM,L1,I3,-100
01/12/22 04:20:27 PM,L1,I4,-200
01/12/22 04:32:56 PM,L1,I1,-80
01/12/22 04:33:05 PM,L1,I10,-80
01/12/22 04:33:13 PM,L1,I9,-40
01/12/22 04:33:22 PM,L1,I8,-80
01/12/22 04:33:41 PM,L1,I6,-120
01/12/22 09:49:13 AM,L1,I2,-40
01/12/22 09:50:23 AM,L1,I7,-40
01/12/22 09:51:05 AM,L1,I1,-120
01/12/22 09:51:20 AM,L1,I10,-80
01/13/20 07:33:21 PM,L1,I4,-100
01/13/20 07:33:29 PM,L1,I2,-40
01/13/21 06:24:25 PM,L1,I1,-160
01/13/21 06:24:37 PM,L1,I10,-80
01/13/21 06:24:45 PM,L1,I9,-80
01/13/21 06:25:08 PM,L1,I6,-80
01/13/21 06:44:14 PM,L1,I2,-40
01/14/19 01:15:25 PM,L1,I1,-120
01/14/19 01:15:32 PM,L1,I5,-40
01/14/19 01:19:15 PM,L1,I3,-100
01/14/20 03:20:24 PM,L1,I1,-160
01/14/20 03:21:12 PM,L1,I10,-80
01/14/20 03:21:19 PM,L1,I6,-80
01/14/20 03:21:48 PM,L1,I5,-40
01/14/21 03:04:30 PM,L1,I8,-40
01/14/21 03:08:57 PM,L1,I4,-100
01/14/21 03:10:42 PM,L1,I7,-30
01/14/21 03:11:40 PM,L1,I1,-160
01/14/21 03:11:47 PM,L1,I10,-80
01/14/21 03:11:53 PM,L1,I6,-80
01/14/21 03:11:59 PM,L1,I5,-80
01/14/21 07:28:19 PM,L1,I8,-40
01/14/22 04:52:30 PM,L1,I10,-80
01/14/22 04:53:46 PM,L1,I6,-40
01/14/22 05:00:30 PM,L1,I4,-100
01/14/22 05:30:02 PM,L1,I4,-100
01/14/22 05:32:28 PM,L1,I4,-200
01/15/18 02:05:39 PM,L1,I2,-40
01/15/18 07:38:26 PM,L1,I1,-40
01/15/18 07:42:12 PM,L1,I1,-80
01/15/18 07:42:19 PM,L1,I6,-80
01/15/18 11:32:30 AM,L1,I1,-80
01/15/18 11:32:38 AM,L1,I3,-300
01/15/18 11:32:46 AM,L1,I5,-80
01/15/19 01:42:50 PM,L1,I1,-120
01/15/19 01:43:44 PM,L1,I9,-40
01/15/19 01:44:20 PM,L1,I3,-100
01/15/19 01:51:41 PM,L1,I2,-42.25
01/15/19 01:52:04 PM,L1,I4,-100
01/15/19 07:37:07 PM,L1,I10,-80
01/15/19 07:37:13 PM,L1,I9,-80
01/15/19 07:37:20 PM,L1,I1,-80
01/15/19 09:16:56 AM,L1,I3,-100
01/15/19 09:18:21 AM,L1,I1,-80
01/15/19 09:18:34 AM,L1,I10,-80
01/15/19 09:18:40 AM,L1,I9,-40
01/15/19 09:18:48 AM,L1,I6,-40
01/15/19 09:18:54 AM,L1,I5,-40
01/15/19 09:19:10 AM,L1,I7,-30
01/15/20 07:05:30 PM,L1,I2,-40
01/15/20 12:42:14 PM,L1,I1,-120
01/15/20 12:42:21 PM,L1,I10,-80
01/15/20 12:42:36 PM,L1,I9,-80
01/15/20 12:42:43 PM,L1,I3,-200
01/15/20 12:44:31 PM,L1,I1,-80
01/15/21 04:59:52 PM,L1,I9,-80
01/15/21 05:00:25 PM,L1,I8,-40
01/15/21 05:02:18 PM,L1,I9,-120
01/15/21 05:04:43 PM,L1,I3,-100
01/15/22 12:20:33 PM,L1,I9,-80
01/16/18 02:06:11 PM,L1,I5,-40
01/16/18 07:32:49 PM,L1,I5,-120
01/16/19 01:24:06 PM,L1,I3,-100
01/16/19 01:25:37 PM,L1,I1,-120
01/16/19 01:26:03 PM,L1,I9,-40
01/16/19 07:42:16 PM,L1,I1,-120
01/16/19 07:42:35 PM,L1,I8,-40
01/16/19 07:42:42 PM,L1,I6,-80
