part_ID,outlier_cutoff,start_date,center_date,cv_date,evaluation_frequency,forecast_window,model_eval_every_N_weeks,m_changepoint_prior_scale,m_seasonality_prior_scale,m_interval_width,goodness_fit_Max,goodness_fit_Mean,goodness_fit_Min,goodness_fit_Std,forecast_coverage,forecast_mean_error,forecast_std_error,forecast_MAPE,forecast_MAPE_std,N_test_points
MB_2321162,277,1/1/18,1/13/21,1/13/22,7D,112,1,0.5,1,0.95,96.30071353,87.62376395,75.0662952,5.665062041,100,5.148707851,20.26055541,17.91674132,10.37185522,36
MB_2321162,277,1/1/18,1/13/21,1/13/22,7D,28,1,0.5,1,0.95,94.30884411,80.84801509,51.52699451,13.27674427,68.75,3.846358849,29.81704766,21.23180309,21.06620174,48
SC_1884199,16764,1/1/18,1/13/21,1/13/22,7D,56,1,0.01,1,0.95,95.2674828,82.30699424,59.12618545,10.69924453,79.54545455,-6.365266985,19.99823033,17.02576744,12.03204098,44
SC_1884199,16764,1/1/18,1/13/21,1/13/22,7D,84,1,0.01,10,0.95,94.39081551,83.04793911,62.5193207,10.27865723,80,-6.42141028,17.19171697,14.23719656,11.39964004,40
SC_1884199,16764,1/1/18,1/13/21,1/13/22,7D,112,1,0.01,1,0.95,92.97527998,83.28846493,66.03171709,10.30533205,75,-5.48111423,14.80217289,12.33725165,9.666888009,36
SC_1884199,16764,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,1,0.95,91.70820527,79.62403848,54.62367711,10.26920491,79.16666667,-4.674188408,23.90418981,20.3584639,13.05517826,48
SC_2221827,2057,1/1/18,1/13/21,1/13/22,7D,56,1,0.1,0.1,0.95,93.96886439,81.13255418,54.63189496,11.50192425,50,7.137236804,25.06918657,20.24849444,16.15711834,44
SC_2221827,2057,1/1/18,1/13/21,1/13/22,7D,84,1,0.1,0.1,0.95,96.57070914,85.20321789,64.06412211,9.942272462,62.5,9.634412198,20.67705661,16.26730805,15.85345519,40
SC_2221827,2057,1/1/18,1/13/21,1/13/22,7D,112,1,0.5,0.1,0.95,95.91294366,89.3187259,75.05760649,5.644862501,94.44444444,4.713375648,19.31498953,16.46841804,10.81489046,36
SC_2221827,2057,1/1/18,1/13/21,1/13/22,7D,28,1,0.5,0.1,0.95,91.74023159,78.15803451,52.37175368,10.25855942,50,3.995123395,28.46611415,23.42834384,16.31117756,48
SC_2222455,253,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,0.1,0.95,88.77757514,74.58250643,54.17253021,10.15069135,25,1.011181521,35.43086352,30.02002121,18.28202682,44
SC_2222455,253,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,0.1,0.95,93.05908464,81.89638042,68.18231998,6.960121825,80,-1.735223944,23.72795288,19.70012539,12.9637133,40
SC_2222455,253,1/1/18,1/13/21,1/13/22,7D,112,1,0.5,0.1,0.95,97.42397939,88.86000502,69.56937781,7.002900033,100,0.114122193,20.89427253,17.9327411,10.28653128,36
SC_2222455,253,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,1,0.95,94.88562892,77.15380924,58.41840246,10.63623798,64.58333333,-8.128568267,28.47440352,24.65194315,16.05062684,48
TL_1216290,3192,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,1,0.95,91.87904091,67.97155404,16.64957032,16.00189864,58.33333333,-9.889311646,41.37155192,34.40854784,24.54273947,48
TL_1887507,31506,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,0.1,0.95,98.16076051,81.67005761,47.41825245,13.84032241,61.36363636,8.117455134,33.27529478,26.47025664,21.39395886,44
TL_1887507,31506,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,0.1,0.95,98.973735,74.8013871,25.71506544,16.69802548,68.75,-6.445263179,33.7795206,26.0926548,22.09454642,48
TL_209783,249,1/1/18,1/13/21,1/13/22,7D,112,1,0.01,0.1,0.95,83.99503801,70.47394873,49.26733087,10.01828246,27.77777778,9.603616221,40.63995636,36.53934237,19.31840306,36
TL_2162339,3607,1/1/18,1/13/21,1/13/22,7D,56,1,0.01,1,0.95,94.04792073,77.33043082,57.24198779,9.99599568,65.90909091,-8.097501302,27.69597333,25.64684377,12.69267448,44
TL_2162339,3607,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,1,0.95,96.75838625,76.11077069,43.96366713,13.83492907,79.16666667,-3.602502856,30.93120365,25.01161043,18.19622573,48
TL_2206680,4533,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,1,0.95,92.53675059,70.20968254,41.33343746,13.11917395,81.25,-8.823928263,36.95329413,31.08501457,21.40623855,48
TL_2206684,5164,1/1/18,1/13/21,1/13/22,7D,56,1,0.1,0.1,0.95,92.36727167,77.83404744,51.17177303,12.34130505,84.09090909,1.701827804,31.59127099,25.84683227,17.81507749,44
TL_2206684,5164,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,0.1,0.95,95.51663431,82.54949401,68.8465253,8.013106876,80,5.712079482,25.52703243,20.92756325,15.3590731,40
TL_2206684,5164,1/1/18,1/13/21,1/13/22,7D,112,1,0.1,10,0.95,87.3478488,77.20975385,60.52220471,8.560725125,33.33333333,9.908793186,31.48482725,28.37040786,16.26060198,36
TL_2206684,5164,1/1/18,1/13/21,1/13/22,7D,28,1,0.1,0.1,0.95,92.74630809,74.03112257,-1.217351707,22.26070204,91.66666667,5.286597574,41.10421037,26.91530363,31.27701737,48
TL_2221827,2634,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,0.1,0.95,94.6533472,76.95100771,49.24796275,12.00348824,40.90909091,2.783654936,39.95606285,34.01945785,20.498241,44
TL_2221827,2634,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,0.1,0.95,94.10742248,76.35475842,51.19377808,12.2693305,67.5,7.304190579,46.78637245,40.0723184,24.42783257,40
TL_2221827,2634,1/1/18,1/13/21,1/13/22,7D,28,1,0.5,0.1,0.95,95.43803805,75.21213353,12.88269003,19.41555574,66.66666667,6.622127859,37.30720373,27.3494495,25.93657536,48
TL_2222455,326,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,0.1,0.95,93.58465611,75.6318115,56.23747214,11.45696146,31.81818182,1.716548482,39.01687695,33.42757468,19.54335924,44
TL_2222455,326,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,0.1,0.95,93.33213047,78.74612564,59.74931349,9.968939081,75,2.056867048,39.03702304,33.32605691,19.72624364,40
TL_2222455,326,1/1/18,1/13/21,1/13/22,7D,112,1,0.1,10,0.95,90.51298513,74.92298654,53.68041225,11.48468963,16.66666667,9.354428602,36.67589242,33.871254,15.97140615,36
TL_2222455,326,1/1/18,1/13/21,1/13/22,7D,28,1,0.5,0.1,0.95,98.40195086,73.3484691,-3.062752153,22.17366277,66.66666667,9.799243014,42.10384745,30.97405357,29.84958345,48
TL_2266888,1184,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,1,0.95,93.46966605,84.35471348,71.15319233,5.060901841,50,0.435543419,21.36555071,16.84184,12.90104016,44
TL_2266888,1184,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,0.1,0.95,94.0439577,88.86641069,78.41239445,4.387929994,97.5,-0.826899159,17.87453213,14.66999142,9.973633975,40
TL_2266888,1184,1/1/18,1/13/21,1/13/22,7D,112,1,0.1,0.1,0.95,93.76764684,87.99584875,78.47043496,4.554679705,44.44444444,-3.887011331,15.10717542,13.3955264,7.69417311,36
TL_2266888,1184,1/1/18,1/13/21,1/13/22,7D,28,1,0.1,1,0.95,94.95390969,74.24769119,9.792852128,18.66833888,68.75,3.489454063,41.47186288,28.40892087,30.13490255,48
